month,MG,Residential Accounts,Service population,population,gpc
7-Jan,6577,"308,360",1930414,561975,3406.885777
7-Feb,6172,"309,071",1930414,561975,3197.210547
7-Mar,8470,"309,902",1930414,561975,4387.566605
7-Apr,8964,"310,618",1930414,561975,4643.558325
7-May,11937,"311,388",1930414,561975,6183.538868
7-Jun,12843,"312,157",1930414,561975,6653.044373
7-Jul,14037,"313,114",1930414,561975,7271.642249
7-Aug,13217,"313,622",1930414,561975,6846.800738
7-Sep,10937,"313,904",1930414,561975,5665.826087
7-Oct,9710,"314,141",1930414,561975,5029.832979
7-Nov,7378,"314,611",1930414,561975,3821.807136
7-Dec,6513,"314,859",1930414,561975,3373.706366
8-Jan,6303,"315,355",1922069,564910,3279.393196
8-Feb,6068,"315,124",1922069,564910,3156.9106
8-Mar,7962,"315,043",1922069,564910,4142.192606
8-Apr,8874,"315,417",1922069,564910,4617.050689
8-May,10889,"315,551",1922069,564910,5665.462582
8-Jun,12078,"315,922",1922069,564910,6283.837885
8-Jul,13243,"316,175",1922069,564910,6889.971172
8-Aug,13013,"316,326",1922069,564910,6770.292846
8-Sep,10484,"316,650",1922069,564910,5454.455589
8-Oct,9491,"317,329",1922069,564910,4937.986097
8-Nov,7192,"317,389",1922069,564910,3741.811558
8-Dec,6172,"317,449",1922069,564910,3211.070987
9-Jan,6250,"317,509",1938407,569477,3224.162934
9-Feb,5547,"317,569",1938407,569477,2861.772579
9-Mar,7674,"317,629",1938407,569477,3958.693917
9-Apr,8323,"317,430",1938407,569477,4293.659691
9-May,11059,"311,468",1938407,569477,5705.200198
9-Jun,11214,"317,531",1938407,569477,5785.193718
9-Jul,12547,"317,964",1938407,569477,6472.711871
9-Aug,12428,"317,813",1938407,569477,6411.57404
9-Sep,10503,"317,924",1938407,569477,5418.191329
9-Oct,9252,"318,179",1938407,569477,4773.006907
9-Nov,7138,"318,234",1938407,569477,3682.6425
9-Dec,6110,"318,270",1938407,569477,3151.850979
10-Jan,5777,"318,573",1956915,584600,2951.957545
10-Feb,5032,"318,675",1956915,584600,2571.445362
10-Mar,6930,"318,906",1956915,584600,3541.129788
10-Apr,7927,"319,317",1956915,584600,4050.896436
10-May,9952,"318,850",1956915,584600,5085.759984
10-Jun,11298,"320,201",1956915,584600,5773.408656
10-Jul,12798,"320,468",1956915,584600,6539.73218
10-Aug,12693,"320,612",1956915,584600,6486.020088
10-Sep,10453,"320,822",1956915,584600,5341.499248
10-Oct,8583,"315,061",1956915,584600,4386.015744
10-Nov,6844,"320,683",1956915,584600,3497.571433
10-Dec,5893,"315,062",1956915,584600,3011.582005
11-Jan,5958,"320,784",1901945,586682,3132.509089
11-Feb,5588,"320,765",1901945,586682,2938.123868
11-Mar,7345,"321,531",1901945,586682,3862.088546
11-Apr,8046,"322,052",1901945,586682,4230.653357
11-May,9774,"322,712",1901945,586682,5138.744811
11-Jun,11001,"323,502",1901945,586682,5783.958001
11-Jul,11884,"323,927",1901945,586682,6248.456186
11-Aug,12190,"324,374",1901945,586682,6409.449274
11-Sep,9980,"324,913",1901945,586682,5247.344166
11-Oct,8648,"324,989",1901945,586682,4546.719279
11-Nov,6812,"325,369",1901945,586682,3581.407454
11-Dec,6052,"325,591",1901945,586682,3181.805993
12-Jan,6090,"325,748",1945277,593406,3130.73151
12-Feb,5810,"326,088",1945277,593406,2986.782859
12-Mar,7350,"326,132",1945277,593406,3778.382205
12-Apr,8098,"327,382",1945277,593406,4163.036935
12-May,10730,"327,561",1945277,593406,5516.083314
12-Jun,11991,"327,839",1945277,593406,6164.320043
12-Jul,12104,"328,606",1945277,593406,6222.090736
12-Aug,11476,"329,137",1945277,593406,5899.29352
12-Sep,9911,"329,440",1945277,593406,5095.084145
12-Oct,8760,"329,800",1945277,593406,4503.255835
12-Nov,7108,"330,227",1945277,593406,3653.91664
12-Dec,6231,"330,288",1945277,593406,3203.096526
13-Jan,6091,"330,244",2002999,599739,3040.92014
13-Feb,5593,"331,198",2002999,599739,2792.163151
13-Mar,7499,"331,731",2002999,599739,3743.940961
13-Apr,8377,"332,268",2002999,599739,4182.004085
13-May,11066,"333,004",2002999,599739,5524.486033
13-Jun,11746,"333,675",2002999,599739,5864.30148
13-Jul,12392,"334,325",2002999,599739,6186.668091
13-Aug,11710,"334,470",2002999,599739,5846.343408
13-Sep,9401,"334,925",2002999,599739,4693.601944
13-Oct,8877,"329,078",2002999,599739,4431.629771
13-Nov,6811,"330,934",2002999,599739,3400.530904
13-Dec,6097,"336,843",2002999,599739,3043.850746
14-Jan,6318,"337,417",2035959,608216,3103.068382
14-Feb,5928,"337,989",2035959,608216,2911.424051
14-Mar,7639,"339,959",2035959,608216,3752.025458
14-Apr,8355,"340,625",2035959,608216,4103.879302
14-May,10432,"341,184",2035959,608216,5123.899843
14-Jun,11534,"341,574",2035959,608216,5665.074788
14-Jul,12058,"342,133",2035959,608216,5922.614355
14-Aug,11336,"342,572",2035959,608216,5568.000141
14-Sep,9884,"343,132",2035959,608216,4854.817803
14-Oct,9152,"343,618",2035959,608216,4495.06105
14-Nov,7148,"342,709",2035959,608216,3510.664999
14-Dec,6136,"343,143",2035959,608216,3013.739471
15-Jan,6024,"343,631",2079946,617820,2896.036724
15-Feb,5798,"344,183",2079946,617820,2787.673334
15-Mar,7529,"344,495",2079946,617820,3619.714166
15-Apr,8506,"344,377",2079946,617820,4089.716752
15-May,9801,"345,333",2079946,617820,4712.141565
15-Jun,11242,"345,770",2079946,617820,5404.875896
15-Jul,12163,"346,139",2079946,617820,5847.522003
15-Aug,12034,"347,073",2079946,617820,5785.645397
15-Sep,10550,"347,180",2079946,617820,5072.400918
15-Oct,8944,"347,702",2079946,617820,4300.087598
15-Nov,7148,"348,018",2079946,617820,3436.420946
15-Dec,6440,"348,591",2079946,617820,3096.070763
16-Jan,6121,"349,212",2136209,626952,2865.407832
16-Feb,6163,"349,690",2136209,626952,2885.199903
16-Mar,7874,"350,297",2136209,626952,3685.762957
16-Apr,7880,"350,786",2136209,626952,3688.72615
16-May,9296,"351,789",2136209,626952,4351.741801
16-Jun,11618,"351,822",2136209,626952,5438.803038
16-Jul,12561,"352,337",2136209,626952,5880.033274
16-Aug,12448,"352,691",2136209,626952,5826.953262
16-Sep,10612,"353,279",2136209,626952,4967.734899
16-Oct,9365,"353,622",2136209,626952,4383.962431
16-Nov,7602,"354,065",2136209,626952,3558.855898
16-Dec,6497,"354,752",2136209,626952,3041.565689
17-Jan,6031,"355,221",2177607,635746,2769.425337
17-Feb,5582,"355,567",2177607,635746,2563.557152
17-Mar,7728,"356,385",2177607,635746,3548.950752
17-Apr,8553,"356,765",2177607,635746,3927.751885
17-May,10747,"357,106",2177607,635746,4935.37631
17-Jun,11979,"357,895",2177607,635746,5500.983419
17-Jul,12985,"358,252",2177607,635746,5963.14211
17-Aug,12493,"358,964",2177607,635746,5736.82028
17-Sep,10636,"359,558",2177607,635746,4884.251382
17-Oct,9649,"359,834",2177607,635746,4430.918894
17-Nov,7751,"360,479",2177607,635746,3559.558727
17-Dec,7041,"361,252",2177607,635746,3233.563265
18-Jan,6699,"361,353",2211770,644055,3028.990356
18-Feb,6276,"361,880",2211770,644055,2837.329379
18-Mar,7586,"362,578",2211770,644055,3429.773439
18-Apr,8768,"363,120",2211770,644055,3964.291043
18-May,10632,"363,668",2211770,644055,4806.983547
18-Jun,11901,"364,115",2211770,644055,5380.921163
18-Jul,12603,"364,458",2211770,644055,5697.965883
18-Aug,12850,"364,891",2211770,644055,5810.034497
18-Sep,11308,"365,974",2211770,644055,5112.48005
18-Oct,9702,"366,662",2211770,644055,4386.30599
18-Nov,7774,"366,238",2211770,644055,3514.913395
18-Dec,6827,"366,830",2211770,644055,3086.505378